"distance:vector SingleCell_Standalone.ue[0].cellularNic.nrChannelModel[0] ($packetLen=1000B, #0 - Multiple-UEs-0-20240120-23:12:54-148370)",,"throughput:vector SingleCell_Standalone.ue[0].app[0] ($packetLen=1000B, #0 - Multiple-UEs-0-20240120-23:12:54-148370)",
1.562,72.1782454057029948,5.8,400000
1.58,72.4642207677370035,5.9,400000
1.582,72.4642207677370035,6,400000
1.6,72.79554075287498415,6.1,400000
1.602,72.79554075287498415,6.2,400000
1.62,73.03675620149698455,6.3,400000
1.622,73.03675620149698455,6.4,400000
1.64,73.3989103064959916,6.5,400000
1.642,73.3989103064959916,6.6,400000
1.66,73.3989103064959916,6.7,400000
1.661,73.3989103064959916,6.8,400000
1.68,73.7161490124489941,6.9,400000
1.681,74.01849374252699905,7,400000
1.7,74.30599766235198415,7.1,400000
1.701,74.30599766235198415,7.2,400000
1.72,74.59373832345599415,7.3,400000
1.721,74.59373832345599415,7.4,400000
1.74,74.59373832345599415,7.5,400000
1.742,74.59373832345599415,7.6,400000
1.76,75.1851263921529945,7.7,400000
1.761,75.1851263921529945,7.8,400000
1.78,75.1851263921529945,7.9,400000
1.782,75.5342951988459956,8,400000
1.8,75.82301498681900375,8.1,400000
1.802,75.82301498681900375,8.2,400000
1.82,75.82301498681900375,8.3,400000
1.821,75.82301498681900375,8.4,400000
1.84,76.340244937005991,8.5,400000
1.842,76.340244937005991,8.6,400000
1.86,76.6600298510609829,8.7,400000
1.862,76.6600298510609829,8.8,400000
1.88,77.02588791880498285,8.9,400000
1.881,77.02588791880498285,9,400000
1.9,77.34620671232298125,9.1,400000
1.902,77.34620671232298125,9.2,400000
1.92,77.34620671232298125,9.3,400000
1.921,77.34620671232298125,9.4,400000
1.94,77.8654397839959811,9.5,400000
1.941,77.8654397839959811,9.6,400000
1.96,78.1712169776779998,9.7,400000
1.962,78.1712169776779998,9.8,400000
1.98,78.1712169776779998,9.9,400000
1.981,78.1712169776779998,10,400000
2,78.8752151304790059,10.1,400000
2.002,78.8752151304790059,10.2,400000
2.02,79.15108881315597925,10.3,400000
2.021,79.15108881315597925,10.4,400000
2.04,79.15108881315597925,10.5,400000
2.041,79.5037120135829978,10.6,400000
2.06,79.5037120135829978,10.7,400000
2.062,79.5037120135829978,10.8,400000
2.08,80.04094667304499905,10.9,400000
